dexnum,name,generation,type1,type2,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,percent_male,percent_female
1,Bulbasaur,1,Grass,Poison,0.7,6.9,Overgrow,Chlorophyll,,45,49,49,65,65,45,318,87.5,12.5
2,Ivysaur,1,Grass,Poison,1.0,13.0,Overgrow,Chlorophyll,,60,62,63,80,80,60,405,87.5,12.5
3,Venusaur,1,Grass,Poison,2.0,100.0,Overgrow,Chlorophyll,,80,82,83,100,100,80,525,87.5,12.5
4,Charmander,1,Fire,,0.6,8.5,Blaze,Solar Power,,39,52,43,60,50,65,309,87.5,12.5
5,Charmeleon,1,Fire,,1.1,19.0,Blaze,Solar Power,,58,64,58,80,65,80,405,87.5,12.5
6,Charizard,1,Fire,Flying,1.7,90.5,Blaze,Solar Power,,78,84,78,109,85,100,534,87.5,12.5
7,Squirtle,1,Water,,0.5,9.0,Torrent,Rain Dish,,44,48,65,50,64,43,314,87.5,12.5
8,Wartortle,1,Water,,1.0,22.5,Torrent,Rain Dish,,59,63,80,65,80,58,405,87.5,12.5
9,Blastoise,1,Water,,1.6,85.5,Torrent,Rain Dish,,79,83,100,85,105,78,530,87.5,12.5
10,Caterpie,1,Bug,,0.3,2.9,Shield Dust,Run Away,,45,30,35,20,20,45,195,50.0,50.0
11,Metapod,1,Bug,,0.7,9.9,Shed Skin,,,50,20,55,25,25,30,205,50.0,50.0
12,Butterfree,1,Bug,Flying,1.1,32.0,Compound Eyes,Tinted Lens,,60,45,50,90,80,70,395,50.0,50.0
13,Weedle,1,Bug,Poison,0.3,3.2,Shield Dust,Run Away,,40,35,30,20,20,50,195,50.0,50.0
14,Kakuna,1,Bug,Poison,0.6,10.0,Shed Skin,,,45,25,50,25,25,35,205,50.0,50.0
15,Beedrill,1,Bug,Poison,1.0,29.5,Swarm,Sniper,,65,90,40,45,80,75,395,50.0,50.0
16,Pidgey,1,Normal,Flying,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,50.0,50.0
17,Pidgeotto,1,Normal,Flying,1.1,30.0,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,50.0,50.0
18,Pidgeot,1,Normal,Flying,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,50.0,50.0
19,Rattata,1,Normal,,0.3,3.5,Run Away,Guts,Hustle,30,56,35,25,35,72,253,50.0,50.0
20,Raticate,1,Normal,,0.7,18.5,Run Away,Guts,Hustle,55,81,60,50,70,97,413,50.0,50.0
21,Spearow,1,Normal,Flying,0.3,2.0,Keen Eye,Sniper,,40,60,30,31,31,70,262,50.0,50.0
22,Fearow,1,Normal,Flying,1.2,38.0,Keen Eye,Sniper,,65,90,65,61,61,100,442,50.0,50.0
23,Ekans,1,Poison,,2.0,6.9,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,50.0,50.0
24,Arbok,1,Poison,,3.5,65.0,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,50.0,50.0
25,Pikachu,1,Electric,,0.4,6.0,Static,Lightning Rod,,35,55,40,50,50,90,320,50.0,50.0
26,Raichu,1,Electric,,0.8,30.0,Static,Lightning Rod,,60,90,55,90,80,110,485,50.0,50.0
27,Sandshrew,1,Ground,,0.6,12.0,Sand Veil,Sand Rush,,50,75,85,20,30,40,300,50.0,50.0
28,Sandslash,1,Ground,,1.0,29.5,Sand Veil,Sand Rush,,75,100,110,45,55,65,450,50.0,50.0
29,Nidoran♀ (female),1,Poison,,0.4,7.0,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,0.0,100.0
30,Nidorina,1,Poison,,0.8,20.0,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,0.0,100.0
31,Nidoqueen,1,Poison,Ground,1.3,60.0,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,0.0,100.0
32,Nidoran♂ (male),1,Poison,,0.5,9.0,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,100.0,0.0
33,Nidorino,1,Poison,,0.9,19.5,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,100.0,0.0
34,Nidoking,1,Poison,Ground,1.4,62.0,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,100.0,0.0
35,Clefairy,1,Fairy,,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,25.0,75.0
36,Clefable,1,Fairy,,1.3,40.0,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,25.0,75.0
37,Vulpix,1,Fire,,0.6,9.9,Flash Fire,Drought,,38,41,40,50,65,65,299,25.0,75.0
38,Ninetales,1,Fire,,1.1,19.9,Flash Fire,Drought,,73,76,75,81,100,100,505,25.0,75.0
39,Jigglypuff,1,Normal,Fairy,0.5,5.5,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,25.0,75.0
40,Wigglytuff,1,Normal,Fairy,1.0,12.0,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,25.0,75.0
41,Zubat,1,Poison,Flying,0.8,7.5,Inner Focus,Infiltrator,,40,45,35,30,40,55,245,50.0,50.0
42,Golbat,1,Poison,Flying,1.6,55.0,Inner Focus,Infiltrator,,75,80,70,65,75,90,455,50.0,50.0
43,Oddish,1,Grass,Poison,0.5,5.4,Chlorophyll,Run Away,,45,50,55,75,65,30,320,50.0,50.0
44,Gloom,1,Grass,Poison,0.8,8.6,Chlorophyll,Stench,,60,65,70,85,75,40,395,50.0,50.0
45,Vileplume,1,Grass,Poison,1.2,18.6,Chlorophyll,Effect Spore,,75,80,85,110,90,50,490,50.0,50.0
46,Paras,1,Bug,Grass,0.3,5.4,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,50.0,50.0
47,Parasect,1,Bug,Grass,1.0,29.5,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,50.0,50.0
48,Venonat,1,Bug,Poison,1.0,30.0,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,50.0,50.0
49,Venomoth,1,Bug,Poison,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,50.0,50.0
50,Diglett,1,Ground,,0.2,0.8,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,50.0,50.0
51,Dugtrio,1,Ground,,0.7,33.3,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,50.0,50.0
52,Meowth,1,Normal,,0.4,4.2,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,50.0,50.0
53,Persian,1,Normal,,1.0,32.0,Limber,Technician,Unnerve,65,70,60,65,65,115,440,50.0,50.0
54,Psyduck,1,Water,,0.8,19.6,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,50.0,50.0
55,Golduck,1,Water,,1.7,76.6,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,50.0,50.0
56,Mankey,1,Fighting,,0.5,28.0,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,50.0,50.0
57,Primeape,1,Fighting,,1.0,32.0,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,50.0,50.0
58,Growlithe,1,Fire,,0.7,19.0,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,75.0,25.0
59,Arcanine,1,Fire,,1.9,155.0,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,75.0,25.0
60,Poliwag,1,Water,,0.6,12.4,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,50.0,50.0
61,Poliwhirl,1,Water,,1.0,20.0,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,50.0,50.0
62,Poliwrath,1,Water,Fighting,1.3,54.0,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,50.0,50.0
63,Abra,1,Psychic,,0.9,19.5,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,75.0,25.0
64,Kadabra,1,Psychic,,1.3,56.5,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,75.0,25.0
65,Alakazam,1,Psychic,,1.5,48.0,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,75.0,25.0
66,Machop,1,Fighting,,0.8,19.5,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,75.0,25.0
67,Machoke,1,Fighting,,1.5,70.5,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,75.0,25.0
68,Machamp,1,Fighting,,1.6,130.0,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,75.0,25.0
69,Bellsprout,1,Grass,Poison,0.7,4.0,Chlorophyll,Gluttony,,50,75,35,70,30,40,300,50.0,50.0
70,Weepinbell,1,Grass,Poison,1.0,6.4,Chlorophyll,Gluttony,,65,90,50,85,45,55,390,50.0,50.0
71,Victreebel,1,Grass,Poison,1.7,15.5,Chlorophyll,Gluttony,,80,105,65,100,70,70,490,50.0,50.0
72,Tentacool,1,Water,Poison,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,50.0,50.0
73,Tentacruel,1,Water,Poison,1.6,55.0,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,50.0,50.0
74,Geodude,1,Rock,Ground,0.4,20.0,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,50.0,50.0
75,Graveler,1,Rock,Ground,1.0,105.0,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390,50.0,50.0
76,Golem,1,Rock,Ground,1.4,300.0,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495,50.0,50.0
77,Ponyta,1,Fire,,1.0,30.0,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410,50.0,50.0
78,Rapidash,1,Fire,,1.7,95.0,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500,50.0,50.0
79,Slowpoke,1,Water,Psychic,1.2,36.0,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315,50.0,50.0
80,Slowbro,1,Water,Psychic,1.6,78.5,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490,50.0,50.0
81,Magnemite,1,Electric,Steel,0.3,6.0,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325,,
82,Magneton,1,Electric,Steel,1.0,60.0,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465,,
83,Farfetch'd,1,Normal,Flying,0.8,15.0,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377,50.0,50.0
84,Doduo,1,Normal,Flying,1.4,39.2,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,50.0,50.0
85,Dodrio,1,Normal,Flying,1.8,85.2,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,470,50.0,50.0
86,Seel,1,Water,,1.1,90.0,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325,50.0,50.0
87,Dewgong,1,Water,Ice,1.7,120.0,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475,50.0,50.0
88,Grimer,1,Poison,,0.9,30.0,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325,50.0,50.0
89,Muk,1,Poison,,1.2,30.0,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500,50.0,50.0
90,Shellder,1,Water,,0.3,4.0,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305,50.0,50.0
91,Cloyster,1,Water,Ice,1.5,132.5,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525,50.0,50.0
92,Gastly,1,Ghost,Poison,1.3,0.1,Levitate,,,30,35,30,100,35,80,310,50.0,50.0
93,Haunter,1,Ghost,Poison,1.6,0.1,Levitate,,,45,50,45,115,55,95,405,50.0,50.0
94,Gengar,1,Ghost,Poison,1.5,40.5,Cursed Body,,,60,65,60,130,75,110,500,50.0,50.0
95,Onix,1,Rock,Ground,8.8,210.0,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385,50.0,50.0
96,Drowzee,1,Psychic,,1.0,32.4,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,328,50.0,50.0
97,Hypno,1,Psychic,,1.6,75.6,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483,50.0,50.0
98,Krabby,1,Water,,0.4,6.5,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,325,50.0,50.0
99,Kingler,1,Water,,1.3,60.0,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475,50.0,50.0
100,Voltorb,1,Electric,,0.5,10.4,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,,
101,Electrode,1,Electric,,1.2,66.6,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,,
102,Exeggcute,1,Grass,Psychic,0.4,2.5,Chlorophyll,Harvest,,60,40,80,60,45,40,325,50.0,50.0
103,Exeggutor,1,Grass,Psychic,2.0,120.0,Chlorophyll,Harvest,,95,95,85,125,75,55,530,50.0,50.0
104,Cubone,1,Ground,,0.4,6.5,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,320,50.0,50.0
105,Marowak,1,Ground,,1.0,45.0,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,425,50.0,50.0
106,Hitmonlee,1,Fighting,,1.5,49.8,Limber,Reckless,Unburden,50,120,53,35,110,87,455,100.0,0.0
107,Hitmonchan,1,Fighting,,1.4,50.2,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,455,100.0,0.0
108,Lickitung,1,Normal,,1.2,65.5,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,385,50.0,50.0
109,Koffing,1,Poison,,0.6,1.0,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35,340,50.0,50.0
110,Weezing,1,Poison,,1.2,9.5,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60,490,50.0,50.0
111,Rhyhorn,1,Ground,Rock,1.0,115.0,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345,50.0,50.0
112,Rhydon,1,Ground,Rock,1.9,120.0,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485,50.0,50.0
113,Chansey,1,Normal,,1.1,34.6,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,450,0.0,100.0
114,Tangela,1,Grass,,1.0,35.0,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,435,50.0,50.0
115,Kangaskhan,1,Normal,,2.2,80.0,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,490,0.0,100.0
116,Horsea,1,Water,,0.4,8.0,Swift Swim,Sniper,Damp,30,40,70,70,25,60,295,50.0,50.0
117,Seadra,1,Water,,1.2,25.0,Poison Point,Sniper,Damp,55,65,95,95,45,85,440,50.0,50.0
118,Goldeen,1,Water,,0.6,15.0,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,320,50.0,50.0
119,Seaking,1,Water,,1.3,39.0,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450,50.0,50.0
120,Staryu,1,Water,,0.8,34.5,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,340,,
121,Starmie,1,Water,Psychic,1.1,80.0,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,520,,
122,Mr. Mime,1,Psychic,Fairy,1.3,54.5,Soundproof,Filter,Technician,40,45,65,100,120,90,460,50.0,50.0
123,Scyther,1,Bug,Flying,1.5,56.0,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,50.0,50.0
124,Jynx,1,Ice,Psychic,1.4,40.6,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,455,0.0,100.0
125,Electabuzz,1,Electric,,1.1,30.0,Static,Vital Spirit,,65,83,57,95,85,105,490,75.0,25.0
126,Magmar,1,Fire,,1.3,44.5,Flame Body,Vital Spirit,,65,95,57,100,85,93,495,75.0,25.0
127,Pinsir,1,Bug,,1.5,55.0,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,500,50.0,50.0
128,Tauros,1,Normal,,1.4,88.4,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,490,100.0,0.0
129,Magikarp,1,Water,,0.9,10.0,Swift Swim,Rattled,,20,10,55,15,20,80,200,50.0,50.0
130,Gyarados,1,Water,Flying,6.5,235.0,Intimidate,Moxie,,95,125,79,60,100,81,540,50.0,50.0
131,Lapras,1,Water,Ice,2.5,220.0,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535,50.0,50.0
132,Ditto,1,Normal,,0.3,4.0,Limber,Imposter,,48,48,48,48,48,48,288,,
133,Eevee,1,Normal,,0.3,6.5,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325,87.5,12.5
134,Vaporeon,1,Water,,1.0,29.0,Water Absorb,Hydration,,130,65,60,110,95,65,525,87.5,12.5
135,Jolteon,1,Electric,,0.8,24.5,Volt Absorb,Quick Feet,,65,65,60,110,95,130,525,87.5,12.5
136,Flareon,1,Fire,,0.9,25.0,Flash Fire,Guts,,65,130,60,95,110,65,525,87.5,12.5
137,Porygon,1,Normal,,0.8,36.5,Trace,Download,Analytic,65,60,70,85,75,40,395,,
138,Omanyte,1,Rock,Water,0.4,7.5,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,355,87.5,12.5
139,Omastar,1,Rock,Water,1.0,35.0,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,495,87.5,12.5
140,Kabuto,1,Rock,Water,0.5,11.5,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,355,87.5,12.5
141,Kabutops,1,Rock,Water,1.3,40.5,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,495,87.5,12.5
142,Aerodactyl,1,Rock,Flying,1.8,59.0,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,515,87.5,12.5
143,Snorlax,1,Normal,,2.1,460.0,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540,87.5,12.5
144,Articuno,1,Ice,Flying,1.7,55.4,Pressure,Snow Cloak,,90,85,100,95,125,85,580,,
145,Zapdos,1,Electric,Flying,1.6,52.6,Pressure,Static,,90,90,85,125,90,100,580,,
146,Moltres,1,Fire,Flying,2.0,60.0,Pressure,Flame Body,,90,100,90,125,85,90,580,,
147,Dratini,1,Dragon,,1.8,3.3,Shed Skin,Marvel Scale,,41,64,45,50,50,50,300,50.0,50.0
148,Dragonair,1,Dragon,,4.0,16.5,Shed Skin,Marvel Scale,,61,84,65,70,70,70,420,50.0,50.0
149,Dragonite,1,Dragon,Flying,2.2,210.0,Inner Focus,Multiscale,,91,134,95,100,100,80,600,50.0,50.0
150,Mewtwo,1,Psychic,,2.0,122.0,Pressure,Unnerve,,106,110,90,154,90,130,680,,
151,Mew,1,Psychic,,0.4,4.0,Synchronize,,,100,100,100,100,100,100,600,,
152,Chikorita,2,Grass,,0.9,6.4,Overgrow,Leaf Guard,,45,49,65,49,65,45,318,87.5,12.5
153,Bayleef,2,Grass,,1.2,15.8,Overgrow,Leaf Guard,,60,62,80,63,80,60,405,87.5,12.5
154,Meganium,2,Grass,,1.8,100.5,Overgrow,Leaf Guard,,80,82,100,83,100,80,525,87.5,12.5
155,Cyndaquil,2,Fire,,0.5,7.9,Blaze,Flash Fire,,39,52,43,60,50,65,309,87.5,12.5
156,Quilava,2,Fire,,0.9,19.0,Blaze,Flash Fire,,58,64,58,80,65,80,405,87.5,12.5
157,Typhlosion,2,Fire,,1.7,79.5,Blaze,Flash Fire,,78,84,78,109,85,100,534,87.5,12.5
158,Totodile,2,Water,,0.6,9.5,Torrent,Sheer Force,,50,65,64,44,48,43,314,87.5,12.5
159,Croconaw,2,Water,,1.1,25.0,Torrent,Sheer Force,,65,80,80,59,63,58,405,87.5,12.5
160,Feraligatr,2,Water,,2.3,88.8,Torrent,Sheer Force,,85,105,100,79,83,78,530,87.5,12.5
161,Sentret,2,Normal,,0.8,6.0,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,215,50.0,50.0
162,Furret,2,Normal,,1.8,32.5,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,415,50.0,50.0
163,Hoothoot,2,Normal,Flying,0.7,21.2,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,262,50.0,50.0
164,Noctowl,2,Normal,Flying,1.6,40.8,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,452,50.0,50.0
165,Ledyba,2,Bug,Flying,1.0,10.8,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265,50.0,50.0
166,Ledian,2,Bug,Flying,1.4,35.6,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390,50.0,50.0
167,Spinarak,2,Bug,Poison,0.5,8.5,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250,50.0,50.0
168,Ariados,2,Bug,Poison,1.1,33.5,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400,50.0,50.0
169,Crobat,2,Poison,Flying,1.8,75.0,Inner Focus,Infiltrator,,85,90,80,70,80,130,535,50.0,50.0
170,Chinchou,2,Water,Electric,0.5,12.0,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,330,50.0,50.0
171,Lanturn,2,Water,Electric,1.2,22.5,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,460,50.0,50.0
172,Pichu,2,Electric,,0.3,2.0,Static,Lightning Rod,,20,40,15,35,35,60,205,50.0,50.0
173,Cleffa,2,Fairy,,0.3,3.0,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,218,25.0,75.0
174,Igglybuff,2,Normal,Fairy,0.3,1.0,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,210,25.0,75.0
175,Togepi,2,Fairy,,0.3,1.5,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,245,87.5,12.5
176,Togetic,2,Fairy,Flying,0.6,3.2,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,405,87.5,12.5
177,Natu,2,Psychic,Flying,0.2,2.0,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,320,50.0,50.0
178,Xatu,2,Psychic,Flying,1.5,15.0,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470,50.0,50.0
179,Mareep,2,Electric,,0.6,7.8,Static,Plus,,55,40,40,65,45,35,280,50.0,50.0
180,Flaaffy,2,Electric,,0.8,13.3,Static,Plus,,70,55,55,80,60,45,365,50.0,50.0
181,Ampharos,2,Electric,,1.4,61.5,Static,Plus,,90,75,85,115,90,55,510,50.0,50.0
182,Bellossom,2,Grass,,0.4,5.8,Chlorophyll,Healer,,75,80,95,90,100,50,490,50.0,50.0
183,Marill,2,Water,Fairy,0.4,8.5,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,250,50.0,50.0
184,Azumarill,2,Water,Fairy,0.8,28.5,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,420,50.0,50.0
185,Sudowoodo,2,Rock,,1.2,38.0,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410,50.0,50.0
186,Politoed,2,Water,,1.1,33.9,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500,50.0,50.0
187,Hoppip,2,Grass,Flying,0.4,0.5,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,250,50.0,50.0
188,Skiploom,2,Grass,Flying,0.6,1.0,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,340,50.0,50.0
189,Jumpluff,2,Grass,Flying,0.8,3.0,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,460,50.0,50.0
190,Aipom,2,Normal,,0.8,11.5,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360,50.0,50.0
191,Sunkern,2,Grass,,0.3,1.8,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,180,50.0,50.0
192,Sunflora,2,Grass,,0.8,8.5,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,425,50.0,50.0
193,Yanma,2,Bug,Flying,1.2,38.0,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,390,50.0,50.0
194,Wooper,2,Water,Ground,0.4,8.5,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210,50.0,50.0
195,Quagsire,2,Water,Ground,1.4,75.0,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430,50.0,50.0
196,Espeon,2,Psychic,,0.9,26.5,Synchronize,Magic Bounce,,65,65,60,130,95,110,525,87.5,12.5
197,Umbreon,2,Dark,,1.0,27.0,Synchronize,Inner Focus,,95,65,110,60,130,65,525,87.5,12.5
198,Murkrow,2,Dark,Flying,0.5,2.1,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405,50.0,50.0
199,Slowking,2,Water,Psychic,2.0,79.5,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,490,50.0,50.0
