dexnum,name,generation,type1,type2,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,percent_male,percent_female
200,Misdreavus,2,Ghost,,0.7,1.0,Levitate,,,60,60,60,85,85,85,435,50.0,50.0
201,Unown,2,Psychic,,0.5,5.0,Levitate,,,48,72,48,72,48,48,336,,
202,Wobbuffet,2,Psychic,,1.3,28.5,Shadow Tag,Telepathy,,190,33,58,33,58,33,405,50.0,50.0
203,Girafarig,2,Normal,Psychic,1.5,41.5,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455,50.0,50.0
204,Pineco,2,Bug,,0.6,7.2,Sturdy,Overcoat,,50,65,90,35,35,15,290,50.0,50.0
205,Forretress,2,Bug,Steel,1.2,125.8,Sturdy,Overcoat,,75,90,140,60,60,40,465,50.0,50.0
206,Dunsparce,2,Normal,,1.5,14.0,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,415,50.0,50.0
207,Gligar,2,Ground,Flying,1.1,64.8,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430,50.0,50.0
208,Steelix,2,Steel,Ground,9.2,400.0,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510,50.0,50.0
209,Snubbull,2,Fairy,,0.6,7.8,Intimidate,Run Away,Rattled,60,80,50,40,40,30,300,25.0,75.0
210,Granbull,2,Fairy,,1.4,48.7,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,450,25.0,75.0
211,Qwilfish,2,Water,Poison,0.5,3.9,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440,50.0,50.0
212,Scizor,2,Bug,Steel,1.8,118.0,Swarm,Technician,Light Metal,70,130,100,55,80,65,500,50.0,50.0
213,Shuckle,2,Bug,Rock,0.6,20.5,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505,50.0,50.0
214,Heracross,2,Bug,Fighting,1.5,54.0,Swarm,Guts,Moxie,80,125,75,40,95,85,500,50.0,50.0
215,Sneasel,2,Dark,Ice,0.9,28.0,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430,50.0,50.0
216,Teddiursa,2,Normal,,0.6,8.8,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,330,50.0,50.0
217,Ursaring,2,Normal,,1.8,125.8,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500,50.0,50.0
218,Slugma,2,Fire,,0.7,35.0,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,250,50.0,50.0
219,Magcargo,2,Fire,Rock,0.8,55.0,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,430,50.0,50.0
220,Swinub,2,Ice,Ground,0.4,6.5,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,250,50.0,50.0
221,Piloswine,2,Ice,Ground,1.1,55.8,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450,50.0,50.0
222,Corsola,2,Water,Rock,0.6,5.0,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,410,25.0,75.0
223,Remoraid,2,Water,,0.6,12.0,Hustle,Sniper,Moody,35,65,35,65,35,65,300,50.0,50.0
224,Octillery,2,Water,,0.9,28.5,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480,50.0,50.0
225,Delibird,2,Ice,Flying,0.9,16.0,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,330,50.0,50.0
226,Mantine,2,Water,Flying,2.1,220.0,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,485,50.0,50.0
227,Skarmory,2,Steel,Flying,1.7,50.5,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,465,50.0,50.0
228,Houndour,2,Dark,Fire,0.6,10.8,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,330,50.0,50.0
229,Houndoom,2,Dark,Fire,1.4,35.0,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500,50.0,50.0
230,Kingdra,2,Water,Dragon,1.8,152.0,Swift Swim,Sniper,Damp,75,95,95,95,95,85,540,50.0,50.0
231,Phanpy,2,Ground,,0.5,33.5,Pickup,Sand Veil,,90,60,60,40,40,40,330,50.0,50.0
232,Donphan,2,Ground,,1.1,120.0,Sturdy,Sand Veil,,90,120,120,60,60,50,500,50.0,50.0
233,Porygon2,2,Normal,,0.6,32.5,Trace,Download,Analytic,85,80,90,105,95,60,515,,
234,Stantler,2,Normal,,1.4,71.2,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,465,50.0,50.0
235,Smeargle,2,Normal,,1.2,58.0,Own Tempo,Technician,Moody,55,20,35,20,45,75,250,50.0,50.0
236,Tyrogue,2,Fighting,,0.7,21.0,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,210,100.0,0.0
237,Hitmontop,2,Fighting,,1.4,48.0,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455,100.0,0.0
238,Smoochum,2,Ice,Psychic,0.4,6.0,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305,0.0,100.0
239,Elekid,2,Electric,,0.6,23.5,Static,Vital Spirit,,45,63,37,65,55,95,360,75.0,25.0
240,Magby,2,Fire,,0.7,21.4,Flame Body,Vital Spirit,,45,75,37,70,55,83,365,75.0,25.0
241,Miltank,2,Normal,,1.2,75.5,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,490,0.0,100.0
242,Blissey,2,Normal,,1.5,46.8,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,540,0.0,100.0
243,Raikou,2,Electric,,1.9,178.0,Pressure,Inner Focus,,90,85,75,115,100,115,580,,
244,Entei,2,Fire,,2.1,198.0,Pressure,Inner Focus,,115,115,85,90,75,100,580,,
245,Suicune,2,Water,,2.0,187.0,Pressure,Inner Focus,,100,75,115,90,115,85,580,,
246,Larvitar,2,Rock,Ground,0.6,72.0,Guts,Sand Veil,,50,64,50,45,50,41,300,50.0,50.0
247,Pupitar,2,Rock,Ground,1.2,152.0,Shed Skin,,,70,84,70,65,70,51,410,50.0,50.0
248,Tyranitar,2,Rock,Dark,2.0,202.0,Sand Stream,Unnerve,,100,134,110,95,100,61,600,50.0,50.0
249,Lugia,2,Psychic,Flying,5.2,216.0,Pressure,Multiscale,,106,90,130,90,154,110,680,,
250,Ho-oh,2,Fire,Flying,3.8,199.0,Pressure,Regenerator,,106,130,90,110,154,90,680,,
251,Celebi,2,Psychic,Grass,0.6,5.0,Natural Cure,,,100,100,100,100,100,100,600,,
252,Treecko,3,Grass,,0.5,5.0,Overgrow,Unburden,,40,45,35,65,55,70,310,87.5,12.5
253,Grovyle,3,Grass,,0.9,21.6,Overgrow,Unburden,,50,65,45,85,65,95,405,87.5,12.5
254,Sceptile,3,Grass,,1.7,52.2,Overgrow,Unburden,,70,85,65,105,85,120,530,87.5,12.5
255,Torchic,3,Fire,,0.4,2.5,Blaze,Speed Boost,,45,60,40,70,50,45,310,87.5,12.5
256,Combusken,3,Fire,Fighting,0.9,19.5,Blaze,Speed Boost,,60,85,60,85,60,55,405,87.5,12.5
257,Blaziken,3,Fire,Fighting,1.9,52.0,Blaze,Speed Boost,,80,120,70,110,70,80,530,87.5,12.5
258,Mudkip,3,Water,,0.4,7.6,Torrent,Damp,,50,70,50,50,50,40,310,87.5,12.5
259,Marshtomp,3,Water,Ground,0.7,28.0,Torrent,Damp,,70,85,70,60,70,50,405,87.5,12.5
260,Swampert,3,Water,Ground,1.5,81.9,Torrent,Damp,,100,110,90,85,90,60,535,87.5,12.5
261,Poochyena,3,Dark,,0.5,13.6,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,220,50.0,50.0
262,Mightyena,3,Dark,,1.0,37.0,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,420,50.0,50.0
263,Zigzagoon,3,Normal,,0.4,17.5,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240,50.0,50.0
264,Linoone,3,Normal,,0.5,32.5,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420,50.0,50.0
265,Wurmple,3,Bug,,0.3,3.6,Shield Dust,Run Away,,45,45,35,20,30,20,195,50.0,50.0
266,Silcoon,3,Bug,,0.6,10.0,Shed Skin,,,50,35,55,25,25,15,205,50.0,50.0
267,Beautifly,3,Bug,Flying,1.0,28.4,Swarm,Rivalry,,60,70,50,100,50,65,395,50.0,50.0
268,Cascoon,3,Bug,,0.7,11.5,Shed Skin,,,50,35,55,25,25,15,205,50.0,50.0
269,Dustox,3,Bug,Poison,1.2,31.6,Shield Dust,Compound Eyes,,60,50,70,50,90,65,385,50.0,50.0
270,Lotad,3,Water,Grass,0.5,2.6,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,220,50.0,50.0
271,Lombre,3,Water,Grass,1.2,32.5,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,340,50.0,50.0
272,Ludicolo,3,Water,Grass,1.5,55.0,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480,50.0,50.0
273,Seedot,3,Grass,,0.5,4.0,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,220,50.0,50.0
274,Nuzleaf,3,Grass,Dark,1.0,28.0,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340,50.0,50.0
275,Shiftry,3,Grass,Dark,1.3,59.6,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480,50.0,50.0
276,Taillow,3,Normal,Flying,0.3,2.3,Guts,Scrappy,,40,55,30,30,30,85,270,50.0,50.0
277,Swellow,3,Normal,Flying,0.7,19.8,Guts,Scrappy,,60,85,60,75,50,125,455,50.0,50.0
278,Wingull,3,Water,Flying,0.6,9.5,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,270,50.0,50.0
279,Pelipper,3,Water,Flying,1.2,28.0,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,440,50.0,50.0
280,Ralts,3,Psychic,Fairy,0.4,6.6,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198,50.0,50.0
281,Kirlia,3,Psychic,Fairy,0.8,20.2,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278,50.0,50.0
282,Gardevoir,3,Psychic,Fairy,1.6,48.4,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518,50.0,50.0
283,Surskit,3,Bug,Water,0.5,1.7,Swift Swim,Rain Dish,,40,30,32,50,52,65,269,50.0,50.0
284,Masquerain,3,Bug,Flying,0.8,3.6,Intimidate,Unnerve,,70,60,62,100,82,80,454,50.0,50.0
285,Shroomish,3,Grass,,0.4,4.5,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,295,50.0,50.0
286,Breloom,3,Grass,Fighting,1.2,39.2,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,460,50.0,50.0
287,Slakoth,3,Normal,,0.8,24.0,Truant,,,60,60,60,35,35,30,280,50.0,50.0
288,Vigoroth,3,Normal,,1.4,46.5,Vital Spirit,,,80,80,80,55,55,90,440,50.0,50.0
289,Slaking,3,Normal,,2.0,130.5,Truant,,,150,160,100,95,65,100,670,50.0,50.0
290,Nincada,3,Bug,Ground,0.5,5.5,Compound Eyes,Run Away,,31,45,90,30,30,40,266,50.0,50.0
291,Ninjask,3,Bug,Flying,0.8,12.0,Speed Boost,Infiltrator,,61,90,45,50,50,160,456,50.0,50.0
292,Shedinja,3,Bug,Ghost,0.8,1.2,Wonder Guard,,,1,90,45,30,30,40,236,,
293,Whismur,3,Normal,,0.6,16.3,Soundproof,Rattled,,64,51,23,51,23,28,240,50.0,50.0
294,Loudred,3,Normal,,1.0,40.5,Soundproof,Scrappy,,84,71,43,71,43,48,360,50.0,50.0
295,Exploud,3,Normal,,1.5,84.0,Soundproof,Scrappy,,104,91,63,91,73,68,490,50.0,50.0
296,Makuhita,3,Fighting,,1.0,86.4,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,237,75.0,25.0
297,Hariyama,3,Fighting,,2.3,253.8,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,474,75.0,25.0
298,Azurill,3,Normal,Fairy,0.2,2.0,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,190,25.0,75.0
299,Nosepass,3,Rock,,1.0,97.0,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,375,50.0,50.0
300,Skitty,3,Normal,,0.6,11.0,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,260,25.0,75.0
301,Delcatty,3,Normal,,1.1,32.6,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,400,25.0,75.0
302,Sableye,3,Dark,Ghost,0.5,11.0,Keen Eye,Stall,Prankster,50,75,75,65,65,50,380,50.0,50.0
303,Mawile,3,Steel,Fairy,0.6,11.5,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,380,50.0,50.0
304,Aron,3,Steel,Rock,0.4,60.0,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,330,50.0,50.0
305,Lairon,3,Steel,Rock,0.9,120.0,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,430,50.0,50.0
306,Aggron,3,Steel,Rock,2.1,360.0,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,530,50.0,50.0
307,Meditite,3,Fighting,Psychic,0.6,11.2,Pure Power,Telepathy,,30,40,55,40,55,60,280,50.0,50.0
308,Medicham,3,Fighting,Psychic,1.3,31.5,Pure Power,Telepathy,,60,60,75,60,75,80,410,50.0,50.0
309,Electrike,3,Electric,,0.6,15.2,Static,Lightning Rod,Minus,40,45,40,65,40,65,295,50.0,50.0
310,Manectric,3,Electric,,1.5,40.2,Static,Lightning Rod,Minus,70,75,60,105,60,105,475,50.0,50.0
311,Plusle,3,Electric,,0.4,4.2,Plus,Lightning Rod,,60,50,40,85,75,95,405,50.0,50.0
312,Minun,3,Electric,,0.4,4.2,Minus,Volt Absorb,,60,40,50,75,85,95,405,50.0,50.0
313,Volbeat,3,Bug,,0.7,17.7,Illuminate,Swarm,Prankster,65,73,75,47,85,85,430,100.0,0.0
314,Illumise,3,Bug,,0.6,17.7,Oblivious,Tinted Lens,Prankster,65,47,75,73,85,85,430,0.0,100.0
315,Roselia,3,Grass,Poison,0.3,2.0,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,400,50.0,50.0
316,Gulpin,3,Poison,,0.4,10.3,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,302,50.0,50.0
317,Swalot,3,Poison,,1.7,80.0,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,467,50.0,50.0
318,Carvanha,3,Water,Dark,0.8,20.8,Rough Skin,Speed Boost,,45,90,20,65,20,65,305,50.0,50.0
319,Sharpedo,3,Water,Dark,1.8,88.8,Rough Skin,Speed Boost,,70,120,40,95,40,95,460,50.0,50.0
320,Wailmer,3,Water,,2.0,130.0,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,400,50.0,50.0
321,Wailord,3,Water,,14.5,398.0,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,500,50.0,50.0
322,Numel,3,Fire,Ground,0.7,24.0,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,305,50.0,50.0
323,Camerupt,3,Fire,Ground,1.9,220.0,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,460,50.0,50.0
324,Torkoal,3,Fire,,0.5,80.4,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,470,50.0,50.0
325,Spoink,3,Psychic,,0.7,30.6,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,330,50.0,50.0
326,Grumpig,3,Psychic,,0.9,71.5,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,470,50.0,50.0
327,Spinda,3,Normal,,1.1,5.0,Own Tempo,Tangled Feet,Contrary,60,60,60,60,60,60,360,50.0,50.0
328,Trapinch,3,Ground,,0.7,15.0,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,290,50.0,50.0
329,Vibrava,3,Ground,Dragon,1.1,15.3,Levitate,,,50,70,50,50,50,70,340,50.0,50.0
330,Flygon,3,Ground,Dragon,2.0,82.0,Levitate,,,80,100,80,80,80,100,520,50.0,50.0
331,Cacnea,3,Grass,,0.4,51.3,Sand Veil,Water Absorb,,50,85,40,85,40,35,335,50.0,50.0
332,Cacturne,3,Grass,Dark,1.3,77.4,Sand Veil,Water Absorb,,70,115,60,115,60,55,475,50.0,50.0
333,Swablu,3,Normal,Flying,0.4,1.2,Natural Cure,Cloud Nine,,45,40,60,40,75,50,310,50.0,50.0
334,Altaria,3,Dragon,Flying,1.1,20.6,Natural Cure,Cloud Nine,,75,70,90,70,105,80,490,50.0,50.0
335,Zangoose,3,Normal,,1.3,40.3,Immunity,Toxic Boost,,73,115,60,60,60,90,458,50.0,50.0
336,Seviper,3,Poison,,2.7,52.5,Shed Skin,Infiltrator,,73,100,60,100,60,65,458,50.0,50.0
337,Lunatone,3,Rock,Psychic,1.0,168.0,Levitate,,,90,55,65,95,85,70,460,,
338,Solrock,3,Rock,Psychic,1.2,154.0,Levitate,,,90,95,85,55,65,70,460,,
339,Barboach,3,Water,Ground,0.4,1.9,Oblivious,Anticipation,Hydration,50,48,43,46,41,60,288,50.0,50.0
340,Whiscash,3,Water,Ground,0.9,23.6,Oblivious,Anticipation,Hydration,110,78,73,76,71,60,468,50.0,50.0
341,Corphish,3,Water,,0.6,11.5,Hyper Cutter,Shell Armor,Adaptability,43,80,65,50,35,35,308,50.0,50.0
342,Crawdaunt,3,Water,Dark,1.1,32.8,Hyper Cutter,Shell Armor,Adaptability,63,120,85,90,55,55,468,50.0,50.0
343,Baltoy,3,Ground,Psychic,0.5,21.5,Levitate,,,40,40,55,40,70,55,300,,
344,Claydol,3,Ground,Psychic,1.5,108.0,Levitate,,,60,70,105,70,120,75,500,,
345,Lileep,3,Rock,Grass,1.0,23.8,Suction Cups,Storm Drain,,66,41,77,61,87,23,355,87.5,12.5
346,Cradily,3,Rock,Grass,1.5,60.4,Suction Cups,Storm Drain,,86,81,97,81,107,43,495,87.5,12.5
347,Anorith,3,Rock,Bug,0.7,12.5,Battle Armor,Swift Swim,,45,95,50,40,50,75,355,87.5,12.5
348,Armaldo,3,Rock,Bug,1.5,68.2,Battle Armor,Swift Swim,,75,125,100,70,80,45,495,87.5,12.5
349,Feebas,3,Water,,0.6,7.4,Swift Swim,Oblivious,Adaptability,20,15,20,10,55,80,200,50.0,50.0
350,Milotic,3,Water,,6.2,162.0,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,540,50.0,50.0
351,Castform,3,Normal,,0.3,0.8,Forecast,,,70,70,70,70,70,70,420,50.0,50.0
352,Kecleon,3,Normal,,1.0,22.0,Color Change,Protean,,60,90,70,60,120,40,440,50.0,50.0
353,Shuppet,3,Ghost,,0.6,2.3,Insomnia,Frisk,Cursed Body,44,75,35,63,33,45,295,50.0,50.0
354,Banette,3,Ghost,,1.1,12.5,Insomnia,Frisk,Cursed Body,64,115,65,83,63,65,455,50.0,50.0
355,Duskull,3,Ghost,,0.8,15.0,Levitate,Frisk,,20,40,90,30,90,25,295,50.0,50.0
356,Dusclops,3,Ghost,,1.6,30.6,Pressure,Frisk,,40,70,130,60,130,25,455,50.0,50.0
357,Tropius,3,Grass,Flying,2.0,100.0,Chlorophyll,Solar Power,Harvest,99,68,83,72,87,51,460,50.0,50.0
358,Chimecho,3,Psychic,,0.6,1.0,Levitate,,,75,50,80,95,90,65,455,50.0,50.0
359,Absol,3,Dark,,1.2,47.0,Pressure,Super Luck,Justified,65,130,60,75,60,75,465,50.0,50.0
360,Wynaut,3,Psychic,,0.6,14.0,Shadow Tag,Telepathy,,95,23,48,23,48,23,260,50.0,50.0
361,Snorunt,3,Ice,,0.7,16.8,Inner Focus,Ice Body,Moody,50,50,50,50,50,50,300,50.0,50.0
362,Glalie,3,Ice,,1.5,256.5,Inner Focus,Ice Body,Moody,80,80,80,80,80,80,480,50.0,50.0
363,Spheal,3,Ice,Water,0.8,39.5,Thick Fat,Ice Body,Oblivious,70,40,50,55,50,25,290,50.0,50.0
364,Sealeo,3,Ice,Water,1.1,87.6,Thick Fat,Ice Body,Oblivious,90,60,70,75,70,45,410,50.0,50.0
365,Walrein,3,Ice,Water,1.4,150.6,Thick Fat,Ice Body,Oblivious,110,80,90,95,90,65,530,50.0,50.0
366,Clamperl,3,Water,,0.4,52.5,Shell Armor,Rattled,,35,64,85,74,55,32,345,50.0,50.0
367,Huntail,3,Water,,1.7,27.0,Swift Swim,Water Veil,,55,104,105,94,75,52,485,50.0,50.0
368,Gorebyss,3,Water,,1.8,22.6,Swift Swim,Hydration,,55,84,105,114,75,52,485,50.0,50.0
369,Relicanth,3,Water,Rock,1.0,23.4,Swift Swim,Rock Head,Sturdy,100,90,130,45,65,55,485,87.5,12.5
370,Luvdisc,3,Water,,0.6,8.7,Swift Swim,Hydration,,43,30,55,40,65,97,330,25.0,75.0
371,Bagon,3,Dragon,,0.6,42.1,Rock Head,Sheer Force,,45,75,60,40,30,50,300,50.0,50.0
372,Shelgon,3,Dragon,,1.1,110.5,Rock Head,Overcoat,,65,95,100,60,50,50,420,50.0,50.0
373,Salamence,3,Dragon,Flying,1.5,102.6,Intimidate,Moxie,,95,135,80,110,80,100,600,50.0,50.0
374,Beldum,3,Steel,Psychic,0.6,95.2,Clear Body,Light Metal,,40,55,80,35,60,30,300,,
375,Metang,3,Steel,Psychic,1.2,202.5,Clear Body,Light Metal,,60,75,100,55,80,50,420,,
376,Metagross,3,Steel,Psychic,1.6,550.0,Clear Body,Light Metal,,80,135,130,95,90,70,600,,
377,Regirock,3,Rock,,1.7,230.0,Clear Body,Sturdy,,80,100,200,50,100,50,580,,
378,Regice,3,Ice,,1.8,175.0,Clear Body,Ice Body,,80,50,100,100,200,50,580,,
379,Registeel,3,Steel,,1.9,205.0,Clear Body,Light Metal,,80,75,150,75,150,50,580,,
380,Latias,3,Dragon,Psychic,1.4,40.0,Levitate,,,80,80,90,110,130,110,600,0.0,100.0
381,Latios,3,Dragon,Psychic,2.0,60.0,Levitate,,,80,90,80,130,110,110,600,100.0,0.0
382,Kyogre,3,Water,,4.5,352.0,Drizzle,,,100,100,90,150,140,90,670,,
383,Groudon,3,Ground,,3.5,950.0,Drought,,,100,150,140,100,90,90,670,,
384,Rayquaza,3,Dragon,Flying,7.0,206.5,Air Lock,,,105,150,90,150,90,95,680,,
385,Jirachi,3,Steel,Psychic,0.3,1.1,Serene Grace,,,100,100,100,100,100,100,600,,
386,Deoxys,3,Psychic,,1.7,60.8,Pressure,,,50,150,50,150,50,150,600,,
387,Turtwig,4,Grass,,0.4,10.2,Overgrow,Shell Armor,,55,68,64,45,55,31,318,87.5,12.5
388,Grotle,4,Grass,,1.1,97.0,Overgrow,Shell Armor,,75,89,85,55,65,36,405,87.5,12.5
389,Torterra,4,Grass,Ground,2.2,310.0,Overgrow,Shell Armor,,95,109,105,75,85,56,525,87.5,12.5
390,Chimchar,4,Fire,,0.5,6.2,Blaze,Iron Fist,,44,58,44,58,44,61,309,87.5,12.5
391,Monferno,4,Fire,Fighting,0.9,22.0,Blaze,Iron Fist,,64,78,52,78,52,81,405,87.5,12.5
392,Infernape,4,Fire,Fighting,1.2,55.0,Blaze,Iron Fist,,76,104,71,104,71,108,534,87.5,12.5
393,Piplup,4,Water,,0.4,5.2,Torrent,Defiant,,53,51,53,61,56,40,314,87.5,12.5
394,Prinplup,4,Water,,0.8,23.0,Torrent,Defiant,,64,66,68,81,76,50,405,87.5,12.5
395,Empoleon,4,Water,Steel,1.7,84.5,Torrent,Defiant,,84,86,88,111,101,60,530,87.5,12.5
396,Starly,4,Normal,Flying,0.3,2.0,Keen Eye,Reckless,,40,55,30,30,30,60,245,50.0,50.0
397,Staravia,4,Normal,Flying,0.6,15.5,Intimidate,Reckless,,55,75,50,40,40,80,340,50.0,50.0
398,Staraptor,4,Normal,Flying,1.2,24.9,Intimidate,Reckless,,85,120,70,50,60,100,485,50.0,50.0
399,Bidoof,4,Normal,,0.5,20.0,Simple,Unaware,Moody,59,45,40,35,40,31,250,50.0,50.0
400,Bibarel,4,Normal,Water,1.0,31.5,Simple,Unaware,Moody,79,85,60,55,60,71,410,50.0,50.0
401,Kricketot,4,Bug,,0.3,2.2,Shed Skin,Run Away,,37,25,41,25,41,25,194,50.0,50.0
402,Kricketune,4,Bug,,1.0,25.5,Swarm,Technician,,77,85,51,55,51,65,384,50.0,50.0
403,Shinx,4,Electric,,0.5,9.5,Rivalry,Intimidate,Guts,45,65,34,40,34,45,263,50.0,50.0
404,Luxio,4,Electric,,0.9,30.5,Rivalry,Intimidate,Guts,60,85,49,60,49,60,363,50.0,50.0
405,Luxray,4,Electric,,1.4,42.0,Rivalry,Intimidate,Guts,80,120,79,95,79,70,523,50.0,50.0
406,Budew,4,Grass,Poison,0.2,1.2,Natural Cure,Poison Point,Leaf Guard,40,30,35,50,70,55,280,50.0,50.0
